地址,建物型態,訂約日期,樓別/樓高,家具,緯度,經度,備註,租金,總面積(坪),出租型態,房型,租賃期間,屋齡,主要用途
中壢區興仁路二段９９號１０樓之８３,華廈(10層含以下有電梯),113/09/16,十層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1130918~1140917,18,住家用
中壢區延平路４２９號十二樓,住宅大樓(11層含以上有電梯),113/09/26,十二層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.958538621772124,121.22461225406984,,"16,000",42.00,整戶出租,3房2廳2衛,1130926~1140831,27,辦公室
中壢區榮安一街４６０號四樓,住宅大樓(11層含以上有電梯),113/09/26,四層/十四層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,24.96559667491159,121.25404013276614,,"18,000",53.37,整戶出租,3房1廳2衛,1131025~1141024,21,住家用
中壢區西園路９６巷９號,透天厝,113/09/26,全/二層,冷氣、熱水器、冰箱、傢俱,24.97659887492964,121.2340646476365,,"15,000",23.87,整戶出租,3房2廳2衛,1131108~1141107,34,住家用
中壢區民族路２８２號７樓,華廈(10層含以下有電梯),113/09/20,七層/七層,冷氣、熱水器、洗衣機、瓦斯或天然氣、傢俱,24.95736129459956,121.20848735836509,水費、電費、瓦斯費、網路費由承租人負擔。,"17,000",32.39,整戶出租,3房1廳2衛,1130921~1140920,30,住家用
中壢區同慶路２４３號十樓,住宅大樓(11層含以上有電梯),113/09/26,十層/十四層,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣、傢俱,24.941010721305283,121.25501951012768,每月管理費1500元由承租人負擔，未計入租金。未租賃車位，建物登記含有車位面積;,"15,000",38.01,整戶出租,3房1廳2衛,1131005~1141004,20,住家用
中壢區忠勤街６號五樓,華廈(10層含以下有電梯),113/09/27,五層/五層,冷氣、熱水器、傢俱,24.973981813641068,121.25532515592528,社會住宅 水電費 瓦斯費由承租人負擔,"13,000",28.45,整戶出租,1房2廳2衛,1131001~1140930,1,集合住宅
中壢區精忠二街５８號十三樓,住宅大樓(11層含以上有電梯),113/09/26,十三層/十四層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.970035248608728,121.25601031942703,管理費每個月元1500整，水費、電費、瓦斯費皆由承租人負擔,"20,500",52.42,整戶出租,3房2廳2衛,1131001~1140930,22,住家用
中壢區龍昌路３４４號,透天厝,113/09/27,全/二層,熱水器,24.933653403449316,121.24918228398693,社會住宅 水電費由承租人負擔,"10,000",30.33,整戶出租,1房2廳2衛,1131001~1140930,43,住家用
中壢區中園路２６號１０樓之１１,住宅大樓(11層含以上有電梯),113/09/25,十層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.965137200384493,121.23702407622548,,"18,500",35.16,整戶出租,3房1廳2衛,1130929~1140928,18,住家用
中壢區中園路二段１３６巷１１號二樓,公寓(5樓含以下無電梯),113/09/19,二層/三層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.992441929774163,121.2351447016537,社會住宅,"13,000",28.04,整戶出租,3房1廳1衛,1130919~1140918,50,住家用
中壢區仁福四街３３巷９號四樓,華廈(10層含以下有電梯),113/09/26,四層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.940360181302257,121.25530533008285,每月管理費1000元由承租人負擔，未計入租金。續租案件;,"7,000",26.88,整戶出租,2房2廳1衛,1131009~1141008,25,集合住宅
中壢區福壽六街９號四樓之３,住宅大樓(11層含以上有電梯),113/09/08,四層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.965468276960536,121.23318193685485,租金已扣除管理費2104元,"18,896",42.60,整戶出租,2房2廳1衛,1131001~1140930,14,住家用
中壢區高鐵站前東路一段９９號十樓之１,住宅大樓(11層含以上有電梯),113/09/05,十層/十七層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,25.012312165487376,121.2181014563183,,"24,530",27.88,整戶出租,2房2廳2衛,1130905~1140904,3,集合住宅
中壢區龍昌路３２４巷７２號,透天厝,113/09/27,全/二層,冷氣、熱水器、冰箱、傢俱,24.93402698451719,121.24713341743849,社會住宅 水電費由承租人負擔續租案件;,"10,000",27.09,整戶出租,4房2廳2衛,1131030~1141029,43,住家用
中壢區中山路６３號４樓之１４,住宅大樓(11層含以上有電梯),113/09/23,四層/十二層,冷氣、熱水器、冰箱、傢俱,24.95506839304811,121.22681437754565,管理費、水電費、瓦斯費由承租人負擔續租案件;,"7,000",11.45,獨立套房,1房1衛,1131101~1141031,29,住家用
中壢區寧夏二街４３號,透天厝,113/09/08,全/五層,冷氣、熱水器、電視機、冰箱、有線電視、網路、傢俱,24.95147962727974,121.2355223889193,租賃建物部分範圍，且未計入共有部分面積;,"6,000",5.14,分租套房,44房44衛,1130912~1140911,36,住家用
中壢區龍岡路一段２８８號３樓,公寓(5樓含以下無電梯),113/09/24,三層/五層,冷氣、熱水器、電視機、冰箱、有線電視、網路、傢俱,24.947149393655916,121.22753266467603,租賃建物部分範圍，且未計入共有部分面積;,"9,000",5.14,分租套房,8房8衛,1130927~1140926,18,住家用
中壢區福德路１２９巷３號九樓,華廈(10層含以下有電梯),113/09/27,九層/九層,冷氣、熱水器、電視機、瓦斯或天然氣、傢俱,24.97610950588677,121.25707280988452,管理費2500元 瓦斯費 水電費 由承租人負擔,"20,500",44.67,整戶出租,3房2廳2衛,1131001~1140930,29,住家用
中壢區永清街３２２巷１７６號２樓,透天厝,113/09/25,全/三層,冷氣、熱水器、網路、傢俱,24.98439617610372,121.23032519483158,,"5,500",3.99,分租套房,4房4廳4衛,1130925~1140924,25,農舍
中壢區仁德二街６９號４樓,公寓(5樓含以下無電梯),113/09/21,四層/五層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.952096190342832,121.26103363632238,,"16,800",20.11,分層出租,3房1廳1衛,1130921~1140920,44,住家用
中壢區高鐵北路二段６６號８樓,住宅大樓(11層含以上有電梯),113/09/02,八層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,租金總額含管理費;水費;網路費;其他(有線電視);租賃建物部分範圍，且未計入共有部分面積;,"17,500",8.50,分租套房,3房3衛,1130902~1140909,1,集合住宅
中壢區英士二街１６號五樓,公寓(5樓含以下無電梯),113/09/08,五層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.946471454984056,121.22805625378065,水電費由承租人負擔,"13,000",37.76,整戶出租,3房2廳1衛,1131010~1141009,38,住家用
中壢區福星五街６２號,華廈(10層含以下有電梯),113/09/22,一層/六層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、傢俱,24.965922917991648,121.23111283809739,電費、網路費由承租人負擔。租金總額含水費;,"10,000",48.89,獨立套房,1房1衛,1131001~1140930,30,商業用
中壢區興仁路二段９９號８樓之４２,華廈(10層含以下有電梯),113/09/18,八層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.60,獨立套房,1房1衛,1130915~1140914,18,住家用
中壢區興仁路二段９９號８樓之５１,華廈(10層含以下有電梯),113/09/18,八層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1130918~1140917,18,住家用
中壢區仁慈路１６６號六樓之１,住宅大樓(11層含以上有電梯),113/09/11,六層/十二層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.945348706588298,121.25245380741612,管理費另計1000元續租案件;,"7,000",9.64,獨立套房,1房1衛,1131001~1140930,29,住家用
中壢區延平路４９８號七樓之八,住宅大樓(11層含以上有電梯),113/09/26,七層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95703286807451,121.22329237167008,水、電費由承租人負擔，管理費每月500元 由出租人負擔,"11,000",7.71,獨立套房,1房1衛,1130926~1140925,31,住家用
中壢區榮安十五街２８之１２號１１樓,住宅大樓(11層含以上有電梯),113/09/22,十一層/十二層,冷氣、熱水器、冰箱、瓦斯或天然氣、傢俱,24.961056873612232,121.2584280533542,水費、電費、瓦斯費、網路費及每月管理費1000元整由承租人負擔。,"8,000",23.14,整戶出租,2房1廳1衛,1131001~1140930,29,住家用
中壢區興仁路二段９９號９樓之１７,華廈(10層含以下有電梯),113/09/18,九層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.57,獨立套房,1房1衛,1130918~1140917,18,住家用
中壢區環西路二段３５０之１號,住宅大樓(11層含以上有電梯),113/09/19,一層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.965053397575744,121.21489832089335,多人共同承租2;,"30,000",36.00,分層出租,4房3廳2衛,1131015~1141015,13,辦公室
中壢區大仁二街１８號８樓之１,華廈(10層含以下有電梯),113/09/16,八層/八層,冷氣、熱水器、冰箱、網路、傢俱,24.954645910067505,121.24281715798033,,"4,900",7.13,獨立套房,1房1衛,1130915~1140914,21,住家用
中壢區大仁二街１８號８樓之８,華廈(10層含以下有電梯),113/09/20,八層/八層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.954645910067505,121.24281715798033,,"5,500",7.13,獨立套房,1房1衛,1130906~1140905,21,住家用
中壢區興仁路二段９９號５樓之６９,華廈(10層含以下有電梯),113/09/16,五層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.58,獨立套房,1房1衛,1131005~1141004,18,住家用
中壢區興仁路二段９９號１０樓之４９,華廈(10層含以下有電梯),113/09/18,十層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.58,獨立套房,1房1衛,1131001~1140930,18,住家用
中壢區興仁路二段９９號７樓之３０,華廈(10層含以下有電梯),113/09/03,七層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.94,獨立套房,1房1衛,1131001~1140930,18,住家用
中壢區興仁路二段９９號１０樓之１０,華廈(10層含以下有電梯),113/09/04,十層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.58,獨立套房,1房1衛,1131001~1140930,18,住家用
中壢區龍安街３５巷１５號四樓,公寓(5樓含以下無電梯),113/09/23,四層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.94450949397398,121.2468077448977,,"9,000",14.26,獨立套房,1房1衛,1131001~1140930,29,住家用
中壢區中山路６３號五樓之１６,住宅大樓(11層含以上有電梯),113/09/27,五層/十二層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.95506839304811,121.22681437754565,每月管理費600元由出租人負擔，租金已扣除。續租案件;,"5,400",7.47,獨立套房,1房1廳1衛,1131001~1140930,29,住家用
中壢區環中東路２４１號七樓之１２,住宅大樓(11層含以上有電梯),113/09/27,七層/十四層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.963315721334457,121.25741267119292,管理費每個月700元整、水費、電費皆由承租人負擔,"9,300",13.16,獨立套房,1房1衛,1131007~1141006,25,辦公室
中壢區執信一街１７３之９號三樓,華廈(10層含以下有電梯),113/09/27,三層/九層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、傢俱,24.944640163478592,121.22709234981414,管理費每月600元整，水費、電費皆由承租人負擔,"8,000",9.47,獨立套房,1房1衛,1131105~1141104,26,住家用
中壢區龍昌路４７３號四樓,住宅大樓(11層含以上有電梯),113/09/29,四層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.930980842304333,121.24927592346334,管理費每月2000元整，水費、電費、瓦斯費皆由承租人負擔未租賃車位，建物登記含有車位面積;,"13,000",42.27,整戶出租,3房2廳2衛,1131001~1140930,10,集合住宅
中壢區環中東路１６７號十樓之７,住宅大樓(11層含以上有電梯),113/09/25,十層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱,24.96443350808752,121.25841529635312,,"4,800",7.58,獨立套房,1房1衛,1131013~1141012,29,住家用
中壢區強國路３９號十五樓,住宅大樓(11層含以上有電梯),113/09/25,十五層/十五層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.96723124121713,121.25902529425838,每月管理費 3638出租人自付。未租賃車位，建物登記含有車位面積;,"26,362",52.36,整戶出租,3房2廳2衛,1131001~1140930,4,集合住宅
中壢區利民路２號５０４房,透天厝,113/09/27,全/五層,冷氣、熱水器、電視機、冰箱、有線電視、網路、傢俱,24.952072327276422,121.23752391885577,,"8,000",5.10,分租套房,32房32衛,1131001~1140930,34,商業用
中壢區興仁路二段４３６號七樓之５,住宅大樓(11層含以上有電梯),113/09/27,七層/十一層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.961643302413425,121.26381691058565,社會住宅 管理費2000元 水電費 瓦斯費由承租人負擔續租案件;,"16,000",40.69,整戶出租,2房2廳1衛,1131010~1151009,9,集合住宅
中壢區三和二街１１號４樓,公寓(5樓含以下無電梯),113/09/07,四層/五層,冷氣、熱水器、冰箱、網路、傢俱,24.955046908965784,121.24051049453391,,"5,500",6.00,分租套房,5房5廳5衛,1130907~1140906,43,住家用
中壢區吉林路１０９號５樓,華廈(10層含以下有電梯),113/09/22,五層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.98299233327494,121.24987595054388,,"10,000",7.99,分租套房,10房10廳10衛,1130923~1140922,5,Ｈ２工業社區（社區住宅）
中壢區青埔二街１７１號５樓,住宅大樓(11層含以上有電梯),113/09/10,五層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,25.008326453613584,121.22096759123401,,"20,500",66.07,整戶出租,3房2廳2衛,1130901~1140831,8,集合住宅
中壢區高鐵北路二段８８號８樓,住宅大樓(11層含以上有電梯),113/09/23,八層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,租金總額含管理費;水費;網路費;其他(有線電視);,"18,500",43.62,分租套房,4房4衛,1130901~1140506,1,集合住宅
中壢區中北路二段２０８巷４１號六樓,華廈(10層含以下有電梯),113/09/30,六層/十層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.951771867204823,121.22757086689779,每月管理費2000元由承租人負擔，未計入租金。續租案件;,"20,000",33.94,整戶出租,3房2廳2衛,1131001~1140930,21,住家用
中壢區黃興街９３號五樓,華廈(10層含以下有電梯),113/09/30,五層/七層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.943069981227,121.22659435777615,"社會住宅  管理費600  水電費 由承租人負擔
原承租人過世 繼承租約續租案件;","19,400",34.88,整戶出租,3房2廳2衛,1130903~1140609,30,住家用
中壢區中山東路三段２４９號３樓之８,華廈(10層含以下有電梯),113/09/23,三層/五層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.942065352443993,121.25069443068948,水費、電費、瓦斯費、網路費由承租人負擔。,"6,000",6.82,獨立套房,1房1衛,1131001~1140930,18,住家用
中壢區中北路二段２０８巷５５號,華廈(10層含以下有電梯),113/09/30,一層/十層,冷氣、熱水器、冰箱、傢俱,24.951771867204823,121.22757086689779,社會住宅 管理費1600元 水電費由承租人負擔,"13,000",19.31,獨立套房,1房1廳1衛,1131001~1140930,21,住家用
中壢區中山路２０１號五樓,華廈(10層含以下有電梯),113/09/27,五層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.956239290162905,121.22267693429667,續租案件;,"7,000",11.25,獨立套房,1房1衛,1131101~1141031,30,住家用
中壢區復華九街５６之１號十樓,住宅大樓(11層含以上有電梯),113/09/28,十層/十二層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.97574469159017,121.2486033880442,管理費每月1600元整，水費、電費皆由承租人負擔,"13,900",23.73,整戶出租,2房2廳1衛,1131001~1140930,33,住家用
中壢區榮和六街１０８號８樓,住宅大樓(11層含以上有電梯),113/09/25,八層/十二層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.96337395826859,121.26538541175115,水費、電費、瓦斯費由承租人負擔。,"15,000",27.55,整戶出租,2房1廳1衛,1131002~1141001,8,集合住宅
中壢區忠孝路１５５之２號七樓,華廈(10層含以下有電梯),113/09/28,七層/八層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.97632993067637,121.25489418672277,每月管理費2000元由承租人負擔，未計入租金。續租案件;,"11,000",30.21,整戶出租,3房2廳2衛,1131010~1141009,31,住家用
中壢區中山東路三段２４９號５樓之５,華廈(10層含以下有電梯),113/09/24,五層/五層,冷氣、熱水器、電視機、冰箱、有線電視、傢俱,24.942065352443993,121.25069443068948,水費、電費、瓦斯費、網路費由承租人負擔。,"6,000",6.76,獨立套房,1房1衛,1131001~1140930,18,住家用
中壢區松義路１６８號二樓,住宅大樓(11層含以上有電梯),113/09/27,二層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96077163576375,121.16746207774084,每月管理費2000 出租人自付。未租賃車位，建物登記含有車位面積;續租案件;,"17,500",35.04,整戶出租,2房2廳1衛,1131007~1141006,1,集合住宅
中壢區福星五街６１之１號四樓,華廈(10層含以下有電梯),113/09/28,四層/七層,冷氣、熱水器、電視機、傢俱,24.96560673715498,121.23124100046554,每月管理費1000由出租人自付,"14,000",22.92,整戶出租,3房2廳1衛,1131001~1140930,32,住家用
中壢區高鐵站前西路二段１０７號二樓,住宅大樓(11層含以上有電梯),113/09/30,二層/十一層,冷氣、熱水器、瓦斯或天然氣、傢俱,25.00690896388316,121.22099477736695,管理費每個月4000元整、水費、電費、瓦斯費皆由承租人負擔,"19,000",45.20,整戶出租,2房2廳1衛,1131001~1140930,12,集合住宅
中壢區大智街１０號五樓之５,公寓(5樓含以下無電梯),113/09/30,五層/五層,冷氣、熱水器、洗衣機、冰箱,24.95333988533667,121.24091320489742,社會住宅 管理費400元 水電費由承租人負擔續租案件;,"5,000",8.62,獨立套房,1房1衛,1131001~1140930,35,住家用
中壢區福州二街５０８號二樓之１,住宅大樓(11層含以上有電梯),113/09/13,二層/十三層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.967983787898913,121.23534580537842,管理費另計2500元,"24,500",61.30,整戶出租,3房2廳2衛,1130923~1140922,12,集合住宅
中壢區正明街１２８號,住宅大樓(11層含以上有電梯),113/09/13,一層/十三層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.95861883071493,121.20662761472948,管理費另計2000元，機車位另計0元,"19,000",39.85,整戶出租,3房1廳2衛,1131010~1141009,18,住家用
中壢區民族路２４號,透天厝,113/09/25,全/三層,,24.955880268479685,121.21510026750903,,"18,000",12.89,,,1130925~1160924,50,人行道、店舖、住宅
中壢區福星五街５７號五樓,華廈(10層含以下有電梯),113/09/30,五層/七層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.96560673715498,121.23124100046554,社會住宅 水電費 管理費875元 瓦斯費由承租人負擔,"9,000",16.80,整戶出租,2房1廳1衛,1131005~1141004,32,住家用
中壢區榮安十三街２９４號十一樓,住宅大樓(11層含以上有電梯),113/09/30,十一層/十二層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.961590336397453,121.25797359545753,社會住宅 管理費2000元 水電費 瓦斯費由承租人負擔續租案件;,"15,000",45.28,整戶出租,3房2廳2衛,1131001~1140930,30,住家用
中壢區中山東路一段２２３巷１３１號五樓之７,華廈(10層含以下有電梯),113/09/28,五層/六層,冷氣、熱水器、電視機、冰箱、傢俱,24.95891571633086,121.23760637349604,管理費每個月500元整，水費、電費皆由承租人負擔,"5,000",7.41,獨立套房,1房1衛,1131101~1141031,34,辦公室、廠房、宿舍
中壢區金鋒四街５０巷２０號九樓,住宅大樓(11層含以上有電梯),113/09/13,九層/十五層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.9455359439432,121.24848330512702,管理費另計2500元,"15,500",27.12,整戶出租,2房1廳1衛,1131001~1150930,20,住家用
中壢區白馬莊１２７號二樓,華廈(10層含以下有電梯),113/09/11,二層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.9618586331851,121.21400143360493,管理費另計2000元,"20,000",42.14,整戶出租,3房2廳2衛,1131001~1140930,32,住家用
中壢區金鋒五街２１巷３號三樓,華廈(10層含以下有電梯),113/09/29,三層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.946817752239905,121.24862451256304,社會住宅  管理費600+水電費瓦斯費由承租人負擔續租案件;,"11,600",31.57,整戶出租,3房2廳2衛,1131110~1141109,32,住家用
中壢區高鐵北路二段６６號五樓,住宅大樓(11層含以上有電梯),113/09/05,五層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,多人共同承租2;租金總額含管理費;水費;網路費;其他(有線電視);租賃建物部分範圍，且未計入共有部分面積;,"15,000",6.00,分租套房,3房3衛,1130905~1140909,1,集合住宅
中壢區大仁二街１５號六樓之１,華廈(10層含以下有電梯),113/09/24,六層/八層,冷氣、熱水器、電視機、冰箱、傢俱,24.955052985802528,121.24232279543997,社會住宅,"10,000",17.06,獨立套房,1房1廳1衛,1130925~1140924,22,住家用
中壢區高鐵北路二段６６號１０樓,住宅大樓(11層含以上有電梯),113/09/05,十層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,租金總額含管理費;水費;網路費;其他(有線電視);租賃建物部分範圍，且未計入共有部分面積;,"17,000",8.00,分租套房,3房3衛,1130905~1140909,1,集合住宅
中壢區高鐵北路二段６６號１０樓,住宅大樓(11層含以上有電梯),113/09/05,十層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,多人共同承租2;租金總額含管理費;水費;網路費;其他(有線電視);租賃建物部分範圍，且未計入共有部分面積;,"18,500",9.50,分租套房,3房3衛,1130905~1140909,1,集合住宅
中壢區中大一路２８９巷２９號,透天厝,113/09/24,全/三層,熱水器、瓦斯或天然氣、傢俱,24.973871140947313,121.2041868046174,社會住宅,"30,000",73.35,整戶出租,6房1廳4衛,1130926~1140925,8,住家用
中壢區高鐵北路二段６６號十二樓,住宅大樓(11層含以上有電梯),113/09/05,十二層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,租金總額含管理費;水費;瓦斯費;其他(有線電視);租賃建物部分範圍，且未計入共有部分面積;,"16,000",7.00,分租套房,3房3衛,1130905~1140909,1,集合住宅
中壢區高鐵北路二段８８號７樓,住宅大樓(11層含以上有電梯),113/09/07,七層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,租金總額含管理費;水費;網路費;其他(有線電視);租賃建物部分範圍，且未計入共有部分面積;,"22,500",11.50,分租套房,4房4衛,1130910~1140909,1,集合住宅
中壢區高鐵北路二段６６號１２樓,住宅大樓(11層含以上有電梯),113/09/07,十二層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,租金總額含管理費;水費;網路費;其他(有線電視);租賃建物部分範圍，且未計入共有部分面積;,"17,500",8.50,分租套房,3房3衛,1130910~1140909,1,集合住宅
中壢區仁德五街２０號十樓之２,住宅大樓(11層含以上有電梯),113/09/25,十層/十四層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.953475254816563,121.26232394448837,社會住宅,"19,000",33.41,整戶出租,3房1廳2衛,1130925~1140924,16,住家用
中壢區高鐵站前西路二段１１９號４樓,住宅大樓(11層含以上有電梯),113/09/28,四層/十一層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路、傢俱,25.00690896388316,121.22099477736695,租金總額含管理費;水費;瓦斯費;網路費;租賃建物部分範圍，且未計入共有部分面積;,"8,500",2.67,分租雅房,4房1廳2衛,1131005~1141004,12,集合住宅
中壢區福安一街１５巷４號三樓,華廈(10層含以下有電梯),113/09/30,三層/六層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.969160631007558,121.23334736491218,管理費每個月300元整，水費、電費、瓦斯費皆由承租人負擔,"14,700",32.08,整戶出租,3房2廳2衛,1131101~1141031,31,住家用
中壢區九和一街６號十三樓之８,住宅大樓(11層含以上有電梯),113/09/26,十三層/二十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96151971746575,121.22346882945486,社會住宅,"14,000",13.85,獨立套房,1房1廳1衛,1130926~1140925,23,住家用
中壢區環西路二段２２６巷３號,店面（店舖),113/09/29,一層/十五層,冷氣,24.964127076339523,121.21239101105057,,"40,550",33.98,,,1131101~1181031,15,商業用
中壢區中山東路三段２３０巷８之１號二樓,住宅大樓(11層含以上有電梯),113/09/26,二層/十三層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.942012642656834,121.2498229328741,社會住宅,"16,000",24.47,整戶出租,2房1廳1衛,1130926~1140925,31,住家用
中壢區興仁路二段９９號４樓之５５,華廈(10層含以下有電梯),113/09/05,四層/十層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.966808351887106,121.26335252257398,水電瓦斯皆由承租人負擔。續租案件;,"6,000",9.58,獨立套房,1房1衛,1130920~1140919,18,住家用
中壢區興仁路二段９９號三樓之９,華廈(10層含以下有電梯),113/09/05,三層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.966808351887106,121.26335252257398,管理費:700元及水電瓦斯皆由承租人負擔。,"6,800",9.57,獨立套房,1房1衛,1130905~1140904,18,住家用
中壢區延平路３６６號十四樓之７,住宅大樓(11層含以上有電梯),113/09/06,十四層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95969406497128,121.2247430975025,水電瓦斯皆由承租人負擔。續租案件;,"9,300",12.17,獨立套房,1房1衛,1130917~1140916,24,住家用
中壢區興仁路二段９９號五樓之４５,華廈(10層含以下有電梯),113/09/06,五層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.966808351887106,121.26335252257398,水電瓦斯皆由承租人負擔。,"6,000",9.58,獨立套房,1房1衛,1131001~1140930,18,住家用
中壢區延平路４９８號８樓之１０,住宅大樓(11層含以上有電梯),113/09/30,八層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95703286807451,121.22329237167008,管理費610由出租人負擔,"6,890",7.55,獨立套房,1房1衛,1131001~1140930,31,住家用
中壢區復華一街６３巷５號,透天厝,113/09/27,全/二層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.970345392785006,121.24881043507064,,"19,900",17.23,整戶出租,3房1廳3衛,1131015~1141014,48,住家用
中壢區青峰路一段１６１號５樓,住宅大樓(11層含以上有電梯),113/09/12,五層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、網路、傢俱,25.015705434734393,121.21904871875559,租金總額含網路費;,"30,901",36.50,整戶出租,2房1廳1衛,1130913~1140912,1,集合住宅
